Distance_(µm),Gray_Value
0.0000,310.500
0.4880,295.500
0.9760,293.000
1.4640,298.000
1.9520,317.333
2.4400,324.667
2.9280,316.333
3.4160,324.333
3.9040,332.000
4.3920,338.000
4.8800,380.167
5.3680,421.833
5.8560,462.833
6.3440,537.500
6.8320,598.500
7.3200,677.833
7.8080,821.667
8.2960,855.000
8.7840,763.333
9.2720,712.000
9.7600,645.667
10.2480,565.000
10.7360,493.667
11.2240,484.000
11.7120,498.833
12.2000,500.500
12.6880,546.500
13.1760,644.167
13.6640,796.667
14.1520,761.167
14.6400,719.833
15.1280,638.333
15.6160,534.500
16.1040,538.000
16.5920,475.500
17.0800,417.667
17.5680,385.333
18.0560,367.833
18.5440,392.000
19.0320,376.500
19.5200,343.333
20.0080,302.333
20.4960,340.833
20.9840,338.000
21.4720,322.167
21.9600,315.167
22.4480,299.833
22.9360,292.500
23.4240,286.333
23.9120,281.333
24.4000,256.333
24.8880,264.000
25.3760,261.333
25.8640,242.667
26.3520,246.500
